,en,es,ja,pt_BR,ar,zh,ru
castellano,ingles,castellano,yanomami,portugues,arabe,chino,ruso
Ingles,English, Ingles,English,Inglês,الإنجليزية,英語,английский
Español, Spanish, Español,Español,espanhol,الأسبانية,西班牙語,испанский
Yanomami, Yanomamo, Yanomami,Yanomami,Yanomami,يانومامي,亞努瑪米,Яномами
Arabe,arabe in,arabe,arabe yano,arabe port,arabe,arabe chino,arabe arabe ruso
Chino,Chinese,Chino,chino yano,chino port,chino ara,chino chino,chino ruso
Ruso,Russian,Ruso,Ruso yano,ruso port,ruso ara,ruso chi,ruso ruso
Nueva colmena ganada, Hives done...,Nueva colmena ganada,Puu kea ya ki thapope,New colmeia ganhou,خلية اكتسبت جديدة,新獲得的蜂巢,Новый получил улей
Lista las medicinas, Medicine done..., Lista las medicinas,Mirisina ke pe aha ,Medicamentos da lista,الأدوية قائمة,藥品名單,Список лекарств
Bonos, Bonus, Bonos,Nomaiha,títulos,قيود,債券,облигации
Mañoco..., Ha ingles, Mañoco,Mañoco ,Mañoco,Mañoco,Mañoco,Mañoco
Medicinas, Medicines, Medicinas,Mirisina,Medicamentos,الأدوية,藥品,медикаменты
Elige un idioma y presiona el boton aplicar, Choice an languaje and press on applic button,Elige un idioma y presiona el boton aplicar,The a ta tere ihi tehe ai the ta hutikiki aplicar,Escolha um idioma e pressione o botão para aplicar,اختيار اللغة واضغط على الزر لتطبيق,選擇一種語言，然後按按鈕應用,"Пожалуйста, выберите язык и нажмите кнопку, чтобы применить"
Primer diálogo, First dialogue,Primer diálogo,Wayou pario,primeiro diálogo,أول حوار,第一次對話,первый диалог
Segundo diálogo, Second dialogue,Segundo diálogo,Wayou koo,segundo diálogo,الحوار الثاني,第二次對話,второй диалог
Tercer diálogo, Third dialogue,Tercer diálogo,Ai the a wayou koo,terceiro diálogo,الحوار الثالث,第三對話,третий диалог
Umm.. debo llevar esto al lugar correcto, ¡Umm..! i must to transport it to the correct place,¡Umm..!  llevar al lugar correcto,Ya the nia teai totihitao ,Umm ..! tomar o lugar certo,أم ..! أخذ المكان المناسب,嗯..！採取正確的地方,Умм ..! занять правильное место
Viva he conseguido el fuego. Lo llevare al chaman, ¡Viva! i have accomplish the fire. Lo llevaré al chamán ingles,¡Viva! he conseguido el fuego. Lo llevaré al chamán,Kowa wake terema.shapori pe iha ya wake hipeape,Viva! Eu tenho o fogo. Vou levar o xamã,فيفا! لقد حصلت على النار. سآخذ الشامان,萬歲！我有火。我要巫師,Viva! У меня есть огонь. Я возьму шаману
Fuegoooo...,Flame..., Fuegoooo...,Kowa wake,I fuegoooo …,حريق,火,огонь
Agua, Water, Agua...,Mau,Água ...,ماء,水...,вода
Ho ho me han visto, ¡Ho ho! he show me,¡Ho ho! me han visto,Ware tararema,Ho ho! Eu ter-me visto,هو هو! لقد رآني,嗬嗬！我已經看到了我,Хо хо! Я видел меня
Pausado, Paused, Pausado,Waihaki,vagaroso,على مهل,悠閒,неторопливый
Continuar, Continue, Continuar,Kuwa ai koo,Continuar,استمر,繼續,продолжать
Colmenas, Hives, Colmenas,Puu kea,colmeias,خلية نحل,蜂箱,ульи
Plumas, Feathers, Plumas,Paushi keki,penas,الريش,羽毛,перья
Inventario, Schedule, Inventario,Komi the pe,inventário,جرد,盤點,инвентарь
Umm.. debo llevar este fuego al lugar correcto,Umm ..! I bring this fire to the right place,¡Umm..! debo llevar este fuego al lugar correcto,Kowa wake teai totihitao,Umm ..! Eu trago este fogo para o lugar certo,أم ..! أحمل هذه النار في المكان المناسب,嗯..！我把這個火到正確的位置,Умм ..! Я приношу этот огонь в нужное место
Umm.. debo llevar esta pluma azul al lugar correcto,Umm ..! I bring this blue pen to the right place,¡Umm..! debo llevar esta pluma azul al lugar correcto,Paushi ushi ushi keki ,Umm ..! Eu trago esta caneta azul ao lugar certo,أم ..! أحمل هذا القلم الأزرق إلى المكان الصحيح,嗯..！我把這個藍色的筆到正確的位置,Умм ..! Я приношу эту синей ручкой в нужном месте
Umm.. debo llevar esta pluma amarilla al lugar correcto,Umm ..! I take this yellow feather to the right place,¡Umm..! debo llevar esta pluma amarilla al lugar correcto,Paushi frare frare keki,Umm ..! Aproveito a pena amarela ao lugar certo,أم ..! وأغتنم هذه ريشة الصفراء إلى المكان الصحيح,嗯..！我藉此黃羽到正確的位置,Умм ..! Я беру это желтое перо на нужном месте
Umm.. debo llevar esta pluma morada al lugar correcto,Umm ..! I take this purple feather to the right place,¡Umm..! debo llevar esta pluma morada al lugar correcto,Paushi ushuhuwe keki,Umm ..! Aproveito a pena roxo ao lugar certo,أم ..! وأغتنم هذه قلم الأرجواني إلى المكان الصحيح,嗯..！我藉此紫色筆來對了地方,Умм ..! Я пользуюсь этой фиолетовую ручку в нужное место
Umm.. debo llevar esta pluma roja al lugar correcto,Umm ..! I wear this red feather to the right place,¡Umm..! debo llevar esta pluma roja al lugar correcto,Paushi wake wake keki ,Umm ..! Eu visto esta caneta vermelha para o lugar certo,أم ..! أرتدي هذا القلم الأحمر إلى المكان الصحيح,嗯..！我穿上這件紅色的筆來對了地方,Умм ..! Я ношу эту красную ручку в нужное место
Umm.. debo llevar esta pluma verde al lugar correcto,Umm ..! I bring this green feather to the right place,¡Umm..! debo llevar esta pluma verde al lugar correcto,Paushi riye riye keki ,Umm ..! Eu trago este caneta verde para o lugar certo,أم ..! أحمل هذا القلم الأخضر إلى المكان الصحيح,嗯..！我把這個綠色的筆來對了地方,Умм ..! Я приношу эту зеленую ручку в нужное место
Pluma azul,Feathers blue,Pluma azul,Paushi ushi ushi  ,caneta azul,القلم الأزرق,藍筆,синяя ручка
Pluma amarilla,Feathers yellow,Pluma amarilla,Paushi frare,pena amarela,القلم الأصفر,黃筆,желтая ручка
Pluma morada,Feathers purple,Pluma morada,Paushi ushuhuwe,pena roxa,القلم البنفسجي,紫色鋼筆,фиолетовый перо
Pluma roja,Feathers red,Pluma roja,Paushi wake  ,caneta vermelha,قلم أحمر,紅筆,красное перо
Pluma blanca,White feather,Pluma blanca,Paushi au au,pena branca,ريشة بيضاء,白羽,белое перо
Pluma verde,Feathers green,Pluma verde,Paushi riye riye ,caneta verde,القلم الأخضر,綠色的筆,зеленый перо
Una pluma para mi coleccion,A feather for my colecction,Una pluma para mi colección,Paushi ya ki thapope,Uma caneta para a minha coleção,قلم لمجموعتي,一個為我的收筆,Ручка для моей коллекции
Flor blanca,White flower,Flor blanca,Hore hore au au ,flor branca,زهرة بيضاء,白色的花,белый цветок
Flor rosada,Pink flower,Flor rosada,Hore hore ushuhuwe,flor rosa,زهرة القرنفل,粉紅色的花,розовый цветок
Flor roja,Red flower,Flor roja,Hore hore wake wake ,flor vermelha,زهرة حمراء,紅花,красный цветок
Hongo liso,Smooth fungus,Hongo liso,Sikomi asi ki ,fungo lisa,فطر السلس,木耳平穩,гладкий гриб
Hongo pintado,Painted fungus,Hongo pintado,Atama keki,fungo pintado,فطر رسمت,塗木耳,окрашенная грибок
Huevo,Egg,Huevo,Pei nathe,ovo,بيضة,雞蛋,яйцо
Mision,Next mision,Próxima misión...,Pei the aha ,A próxima missão ...,المهمة القادمة ...,下一步的任務...,Следующая миссия ...
"Gracias, hasta pronto","Thank you, see you latter","Gracias, hasta pronto",Hoa ai tehe kowe,"Obrigado, ver você em breve",شكرا، نراكم قريبا,謝謝，看到您的到來,"Спасибо, скоро увидимся"
Umm.. debo llevar este huevo al lugar correcto,Umm ..! I bring this egg to the right place,Umm.. debo llevar este huevo al lugar correcto,Ei nathe re kuwi ya nathe praai totihitaope ,Umm .. Eu tomo este ovo para o lugar certo,أم .. وأغتنم هذه البيضة في المكان المناسب,嗯..我拿這個蛋到正確的位置,Умм .. Я беру это яйцо в нужном месте
mision fuego,Fire Mision,Misión del Fuego,Kowa wake aha,missão Fogo,بعثة النار,團火,Миссия Противопожарная
